date,plant_nox_weighted,avg_wind_speed,precipitation,avg_rel_humid,avg_temp,site_nox,pop_density,traffic_vol,traff_imputed,site_nox_lag1,site_nox_3day_avg,site_nox_7day_avg,plant_nox_X_wind
2022-05-29,0.7679706683750954,2.6,0.0,0.57,20.7,14.470833,8116.790163932285,164944.0,1,14.891667,12.307341333333314,16.36384885714286,1.9967237377752483
2022-05-30,0.9012982858439874,3.6,0.0,0.57,23.3,14.316667,8116.790163932285,164944.0,1,14.470833,13.083333333333314,16.290039285714283,3.2446738290383546
2022-05-31,1.6522097475144637,5.1,0.0,0.43,28.3,21.541667,8116.790163932285,164944.0,1,14.316667,14.559722333333314,14.76027742857143,8.426269712323764
2022-06-01,0.8079171775631474,5.1,21.3,0.78,17.8,22.408333,8116.790163932285,164944.0,1,21.541667,16.776388999999984,13.434297142857142,4.120377605572052
2022-06-02,0.7920948640643523,3.1,13.2,0.8,20.3,22.358333,8116.790163932285,164944.0,1,22.408333,19.422222333333313,15.665646285714287,2.455494078599492
2022-06-03,0.6740890618433079,3.8,0.0,0.73,19.5,31.616667,8116.790163932285,164944.0,1,22.358333,22.10277766666665,17.125,2.56153843500457
2022-06-04,0.640326112758716,3.0,0.0,0.52,21.9,34.329167,8116.790163932285,164944.0,1,31.616667,25.461110999999978,20.229166714285714,1.9209783382761478
2022-06-05,0.693700724252774,3.2,0.0,0.34,20.0,11.995833,8116.790163932285,164944.0,1,34.329167,29.434722333333312,23.00595242857143,2.219842317608877
2022-06-06,0.8227162758920762,3.0,0.0,0.34,22.2,30.654167,8116.790163932285,164944.0,1,11.995833,25.980555666666646,22.652381,2.4681488276762287
2022-06-07,0.7502359019766931,6.9,1.3,0.61,21.8,7.295833,8116.790163932285,164944.0,1,30.654167,25.65972233333331,24.98630957142857,5.176627723639182
2022-06-08,1.0167645033784791,4.1,0.0,0.6,23.7,12.595833,8116.790163932285,164944.0,1,7.295833,16.64861099999998,22.95119042857143,4.168734463851764
2022-06-09,1.0821479081213496,6.5,17.8,0.58,24.4,11.55,8116.790163932285,164944.0,1,12.595833,16.84861099999998,21.549404714285714,7.033961402788773
2022-06-10,0.7069191617702271,4.4,0.0,0.42,21.8,22.068182,8116.790163932285,164944.0,1,11.55,10.480555333333315,20.005357142857143,3.1104443117889993
2022-06-11,0.5354480548607833,3.5,5.8,0.56,21.8,23.495833,8116.790163932285,164944.0,1,22.068182,15.40467166666665,18.641287857142856,1.8740681920127416
2022-06-12,0.6064351856937127,4.2,2.0,0.74,20.5,9.720833,8116.790163932285,164944.0,1,23.495833,19.038004999999984,17.093668714285716,2.547027779913593
2022-06-13,1.786249603622402,2.4,0.0,0.6,24.2,29.633333,8116.790163932285,164944.0,1,9.720833,18.42828266666665,16.768668714285713,4.286999048693764
2022-06-14,0.8037433893090258,2.9,0.0,0.45,23.9,35.895833,8116.790163932285,164944.0,1,29.633333,20.94999966666665,16.622835285714284,2.3308558289961745
2022-06-15,0.8518692305568084,4.4,0.0,0.58,23.3,35.952941,8116.790163932285,164944.0,1,35.895833,25.083332999999982,20.708549571428573,3.748224614449957
2022-06-16,0.7118291930131315,5.5,7.1,0.71,20.3,8.083333,8116.790163932285,164944.0,1,35.952941,33.82736899999998,24.045279285714287,3.9150605615722234
2022-06-17,1.351259854486769,5.6,0.0,0.52,25.2,16.316667,8116.790163932285,164944.0,1,8.083333,26.64403566666665,23.550041142857143,7.5670551851259065
2022-06-18,0.5671370325675857,8.4,0.0,0.49,21.7,11.441667,8116.790163932285,164944.0,1,16.316667,20.11764699999998,22.728396142857143,4.76395107356772
2022-06-19,0.5427695069006379,7.2,0.0,0.39,17.3,9.675,8116.790163932285,164944.0,1,11.441667,11.947222333333315,21.006372428571428,3.9079404496845926
